entry_id,kanji_element_id,kanji,kanji_info,reading_element_id,reading,reading_nokanji,reading_info,reading_restraint_id,reading_restraint,sense_id,pos,field,misc,dialect,sense_kanji_restriction_id,kanji_restriction,sense_reading_restriction_id,reading_restriction,sense_xref_id,xref,sense_antonym_id,antonym,sense_gloss_id,gloss,sense_example_id,sense_text,japanese_sentence,english_sentence
1000110,7,ＣＤプレーヤー,,13,シーディープレイヤー,f,,2,ＣＤプレイヤー,14,noun (common) (futsuumeishi),,,,,,,,,,,,17,CD player,1,ＣＤプレイヤー,私は、このＣＤプレイヤーをただで得ました。,I got this CD player for free.
1000110,8,ＣＤプレイヤー,,12,シーディープレーヤー,f,,1,ＣＤプレーヤー,14,noun (common) (futsuumeishi),,,,,,,,,,,,17,CD player,1,ＣＤプレイヤー,私は、このＣＤプレイヤーをただで得ました。,I got this CD player for free.
1000110,7,ＣＤプレーヤー,,12,シーディープレーヤー,f,,1,ＣＤプレーヤー,14,noun (common) (futsuumeishi),,,,,,,,,,,,17,CD player,1,ＣＤプレイヤー,私は、このＣＤプレイヤーをただで得ました。,I got this CD player for free.
1000110,8,ＣＤプレイヤー,,13,シーディープレイヤー,f,,2,ＣＤプレイヤー,14,noun (common) (futsuumeishi),,,,,,,,,,,,17,CD player,1,ＣＤプレイヤー,私は、このＣＤプレイヤーをただで得ました。,I got this CD player for free.
1000130,9,Ｎ響,,14,エヌきょう,f,,,,15,noun (common) (futsuumeishi),,abbreviation,,,,,,,,,,18,NHK Symphony Orchestra,,,,
1000140,10,Ｏバック,,15,オーバック,f,,,,16,noun (common) (futsuumeishi),,,,,,,,,,,,20,skirt with peek-a-boo hole in rump,,,,
1000140,10,Ｏバック,,15,オーバック,f,,,,16,noun (common) (futsuumeishi),,,,,,,,,,,,19,O-back,,,,
1000160,11,Ｔシャツ,,16,ティーシャツ,f,,,,17,noun (common) (futsuumeishi),,,,,,,,,,,,22,tee shirt,2,Ｔシャツ,このＴシャツはバーゲンで買ったんだ。,I bought this T-shirt on sale.
1000160,11,Ｔシャツ,,16,ティーシャツ,f,,,,17,noun (common) (futsuumeishi),,,,,,,,,,,,21,T-shirt,2,Ｔシャツ,このＴシャツはバーゲンで買ったんだ。,I bought this T-shirt on sale.
1000170,12,Ｔバック,,17,ティーバック,f,,,,18,noun (common) (futsuumeishi),,,,,,,,,,,,24,bikini thong,,,,
1000170,12,Ｔバック,,17,ティーバック,f,,,,18,noun (common) (futsuumeishi),,,,,,,,,,,,23,T-back,,,,
1000200,14,阿吽の呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,27,dancing to the same beat,,,,
1000200,14,阿吽の呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,26,singing from the same hymn-sheet,,,,
1000200,14,阿吽の呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,25,"the harmonizing, mentally and physically, of two parties engaged in an activity",,,,
1000200,15,あ・うんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,27,dancing to the same beat,,,,
1000200,15,あ・うんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,26,singing from the same hymn-sheet,,,,
1000200,15,あ・うんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,25,"the harmonizing, mentally and physically, of two parties engaged in an activity",,,,
1000200,13,あうんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,27,dancing to the same beat,,,,
1000200,13,あうんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,26,singing from the same hymn-sheet,,,,
1000200,13,あうんの呼吸,,18,あうんのこきゅう,f,,,,19,"expressions (phrases, clauses, etc.), noun (common) (futsuumeishi)",,idiomatic expression,,,,,,,,,,25,"the harmonizing, mentally and physically, of two parties engaged in an activity",,,,
1000210,,,,19,あおば,f,,,,20,noun (common) (futsuumeishi),,obsolete term,,,,,,8,やまびこ,,,28,(former) regular (stops at every station) Tōhoku-line Shinkansen,,,,
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,35,overt,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,34,explicit,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,33,apparent,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,32,evident,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,31,plain,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,30,clear,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,16,明白,,20,めいはく,f,,,,21,adjectival nouns or quasi-adjectives (keiyodoshi),,,,,,,,,,,,29,obvious,3,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,44,flagrant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,43,blatant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,42,unabashed,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,41,straightforward,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,40,direct,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,39,open,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,38,candid,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,37,frank,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,18,偸閑,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,36,plain,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,44,flagrant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,43,blatant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,42,unabashed,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,41,straightforward,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,40,direct,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,39,open,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,38,candid,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,37,frank,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,19,白地,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,36,plain,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,44,flagrant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,43,blatant,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,42,unabashed,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,41,straightforward,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,40,direct,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,39,open,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,38,candid,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,37,frank,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000225,17,明白,"ateji (phonetic) reading, rarely-used kanji form",21,あからさま,f,,,,22,"adjectival nouns or quasi-adjectives (keiyodoshi), nouns which may take the genitive case particle 'no'",,word usually written using kana alone,,,,,,,,,,36,plain,4,あからさまに,あからさまに言えば彼は嫌いだ。,"Frankly, I don't like him."
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,47,hopeless,,,,
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,46,no good,,,,
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,45,useless,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,47,hopeless,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,46,no good,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,23,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,45,useless,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,50,not allowed,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,49,must not,,,,
1000230,20,明かん,rarely-used kanji form,22,あかん,f,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,48,cannot,,,,
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,50,not allowed,,,,
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,49,must not,,,,
1000230,20,明かん,rarely-used kanji form,23,アカン,t,,,,24,"expressions (phrases, clauses, etc.)",,word usually written using kana alone,Kansai-ben,,,,,,,,,48,cannot,,,,
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,54,loud,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,53,garish,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,52,showy,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,51,gaudy,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,54,loud,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,53,garish,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,52,showy,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,25,adjective (keiyoushi),,word usually written using kana alone,,,,,,9,あくが強い・2,,,51,gaudy,5,あくどい,王女があくどい化粧をしていた。,The princess was wearing too much makeup.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,60,dishonest,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,59,unscrupulous,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,58,nasty,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,57,wicked,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,56,vicious,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,21,悪どい,ateji (phonetic) reading,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,55,crooked,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,60,dishonest,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,59,unscrupulous,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,58,nasty,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,57,wicked,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,56,vicious,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,22,灰汁どい,rarely-used kanji form,24,あくどい,f,,,,26,adjective (keiyoushi),,word usually written using kana alone,,,,,,,,,,55,crooked,6,あくどい,あくどい事をするな。,Don't do wicked things.
1000280,23,論う,,25,あげつらう,f,,,,27,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,61,to discuss,,,,
1000280,23,論う,,25,あげつらう,f,,,,28,"Godan verb with 'u' ending, transitive verb",,,,,,,,,,,,64,to criticise,7,あげつらう,"彼はいろいろ他人の欠点をあげつらうのにうんざりしてしまった。そこで彼らの言うことは何でも、たとえどんなにくだらなくてもそのまま認めることにしている。
                ","He got tired of being the devil's advocate and now agrees with every idea they
                    suggest, no matter how dumb.
                "
1000280,23,論う,,25,あげつらう,f,,,,28,"Godan verb with 'u' ending, transitive verb",,,,,,,,,,,,63,to criticize,7,あげつらう,"彼はいろいろ他人の欠点をあげつらうのにうんざりしてしまった。そこで彼らの言うことは何でも、たとえどんなにくだらなくてもそのまま認めることにしている。
                ","He got tired of being the devil's advocate and now agrees with every idea they
                    suggest, no matter how dumb.
                "
1000280,23,論う,,25,あげつらう,f,,,,28,"Godan verb with 'u' ending, transitive verb",,,,,,,,,,,,62,to find fault with,7,あげつらう,"彼はいろいろ他人の欠点をあげつらうのにうんざりしてしまった。そこで彼らの言うことは何でも、たとえどんなにくだらなくてもそのまま認めることにしている。
                ","He got tired of being the devil's advocate and now agrees with every idea they
                    suggest, no matter how dumb.
                "
1000290,,,,26,あさひ,f,,,,29,noun (common) (futsuumeishi),,,,,,,,,,,,65,Jouetsu line express Shinkansen,,,,
1000300,24,遇う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,68,to deal with,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,24,遇う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,67,to handle,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,24,遇う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,66,to treat,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,25,配う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,68,to deal with,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,25,配う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,67,to handle,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,25,配う,,27,あしらう,f,,,,30,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,1,遇う,,,,,,,66,to treat,8,あしらえない,彼はいいかげんにあしらえない人である。,He is not a man to trifle with.
1000300,24,遇う,,27,あしらう,f,,,,31,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,72,to garnish,,,,
1000300,24,遇う,,27,あしらう,f,,,,31,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,71,to dress,,,,
1000300,24,遇う,,27,あしらう,f,,,,31,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,70,to decorate,,,,
1000300,24,遇う,,27,あしらう,f,,,,31,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,69,to arrange,,,,
1000300,25,配う,,27,あしらう,f,,,,31,"Godan verb with 'u' ending, transitive verb",,word usually written using kana alone,,,,,,,,,,72,to garnish,,,,
